system:index,Consumers accuracy,Kappa,Overall accuracy,Producer accuracy,.geo
0,0.9965397923875432,0.9763173132865778,0.9778008298755186,0.9896907216494846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0,0.9763173132865778,0.9778008298755186,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.0,0.9763173132865778,0.9778008298755186,0.9968354430379747,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.9724137931034482,0.9763173132865778,0.9778008298755186,0.9690721649484536,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.9417808219178082,0.9763173132865778,0.9778008298755186,0.9649122807017544,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9744408945686901,0.9763173132865778,0.9778008298755186,0.9682539682539683,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9772727272727273,0.9763173132865778,0.9778008298755186,0.9678456591639871,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9734848484848485,0.9763173132865778,0.9778008298755186,0.9625468164794008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9863945578231292,0.9763173132865778,0.9778008298755186,0.9830508474576272,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9902597402597403,0.9763173132865778,0.9778008298755186,0.9870550161812298,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.9459459459459459,0.9763173132865778,0.9778008298755186,0.9240924092409241,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.9966442953020134,0.9763173132865778,0.9778008298755186,0.9867109634551495,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.9221556886227545,0.9763173132865778,0.9778008298755186,0.9565217391304348,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.9845201238390093,0.9763173132865778,0.9778008298755186,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.9869281045751634,0.9763173132865778,0.9778008298755186,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0,0.9763173132865778,0.9778008298755186,0.9865771812080537,"{""type"":""MultiPoint"",""coordinates"":[]}"
